category,manufacturer/importer,brand,pet_type,price_segment,package_type,export,january_2021_units,february_2021_units,march_2021_units,april_2021_units,may_2021_units,june_2021_units,july_2021_units,august_2021_units,september_2021_units,october_2021_units,november_2021_units,december_2021_units,january_2022_units,february_2022_units,march_2022_units,april_2022_units,may_2022_units,june_2022_units,july_2022_units,august_2022_units,september_2022_units,october_2022_units,november_2022_units,december_2022_units,january_2023_units,february_2023_units,march_2023_units,april_2023_units,may_2023_units,june_2023_units,january_2021_tons,february_2021_tons,march_2021_tons,april_2021_tons,may_2021_tons,june_2021_tons,july_2021_tons,august_2021_tons,september_2021_tons,october_2021_tons,november_2021_tons,december_2021_tons,january_2022_tons,february_2022_tons,march_2022_tons,april_2022_tons,may_2022_tons,june_2022_tons,july_2022_tons,august_2022_tons,september_2022_tons,october_2022_tons,november_2022_tons,december_2022_tons,january_2023_tons,february_2023_tons,march_2023_tons,april_2023_tons,may_2023_tons,june_2023_tons,january_2021_mil_uah,february_2021_mil_uah,march_2021_mil_uah,april_2021_mil_uah,may_2021_mil_uah,june_2021_mil_uah,july_2021_mil_uah,august_2021_mil_uah,september_2021_mil_uah,october_2021_mil_uah,november_2021_mil_uah,december_2021_mil_uah,january_2022_mil_uah,february_2022_mil_uah,march_2022_mil_uah,april_2022_mil_uah,may_2022_mil_uah,june_2022_mil_uah,july_2022_mil_uah,august_2022_mil_uah,september_2022_mil_uah,october_2022_mil_uah,november_2022_mil_uah,december_2022_mil_uah,january_2023_mil_uah,february_2023_mil_uah,march_2023_mil_uah,april_2023_mil_uah,may_2023_mil_uah,june_2023_mil_uah
dry_cats_and_dogs,TOV_KORMOTECH,СТМ (СТМ),dogs,economy,sack,1,,,381,,,,765,,,270,,,699,,,999,,,,,126,,,150,675,,,,,,,,0.39,,,,0.65,,,0.55,,,0.75,,,1.5,,,,,0.19,,,0.08,0.34,,,,,,,,0.01,,,,0.01,,,0.01,,,0.02,,,0.03,,,,,0,,,0,0.01,,,,,
dry_cats_and_dogs,TOV_KORMOTECH,СТМ (СТМ),dogs,economy,sack,0,8 115.00,7 896.00,9 183.00,6 344.00,7 628.00,6 402.00,6 065.00,12 979.00,5 568.00,7 990.00,9 321.00,12 340.00,4 767.00,4 376.00,9 729.00,10 614.00,1 976.00,2 342.00,2 418.00,7 561.00,8 231.00,7 124.00,1 062.00,5 504.00,8 266.00,3 947.00,3 706.00,2 378.00,4 861.00,6 869.00,25.04,25.89,30.98,26.58,23.65,23.82,21.67,35.62,28.04,32.09,32.07,30.85,30.86,21.01,31.27,28.5,8.44,10.81,11.7,28.79,29.69,40.5,8.01,25.16,49.29,24.94,17.02,12.54,22.9,32.42,0.76,0.85,1.12,0.98,0.84,0.86,0.77,1.29,0.99,1.17,1.19,1.21,1.17,0.83,1.38,1.36,0.39,0.51,0.56,1.33,1.26,1.86,0.37,1.28,2.46,1.18,0.83,0.6,1.11,1.72
dry_cats_and_dogs,TOV_KORMOTECH,СТМ (Таврія),dogs,economy,sack,0,447,345,551,555,819,420,447,607,553,526,815,489,526,686,1 261.00,505,327,108,636,607,842,289,994,1 037.00,370,1 108.00,399,765,956,1 141.00,3.53,2.13,4.57,3.85,5.73,3.44,3.53,4.37,4.21,4.13,6.45,3.65,4.13,4.97,7.86,2.97,2.14,0.32,4.09,4.37,6.53,2.32,6.03,6.02,2.57,8.06,2.29,5.57,5.78,7.06,0.1,0.07,0.14,0.12,0.18,0.1,0.11,0.13,0.13,0.12,0.2,0.12,0.14,0.18,0.29,0.11,0.09,0.01,0.17,0.16,0.26,0.1,0.28,0.28,0.12,0.36,0.11,0.25,0.27,0.32
dry_cats_and_dogs,TOV_KORMOTECH,"СТМ (ТМ ""Easy&Good"")",cats,economy,sack,1,1 309.00,,10 098.00,9 180.00,5 508.00,,8 245.00,,5 457.00,9 486.00,,7 633.00,2 720.00,,,,,,,,,,,,,,,,,,0.52,,4.04,3.67,2.2,,3.3,,2.18,3.79,,3.05,1.09,,,,,,,,,,,,,,,,,,0.01,,0.09,0.08,0.05,,0.07,,0.05,0.08,,0.06,0.02,,,,,,,,,,,,,,,,,
dry_cats_and_dogs,TOV_KORMOTECH,"СТМ (ТМ ""Easy&Good"")",dogs,economy,sack,1,249,,726,324,324,,,,162,537,,,60,,,,,,,,,,,,,,,,,,0.75,,2.18,0.97,0.97,,,,0.49,1.61,,,0.18,,,,,,,,,,,,,,,,,,0.01,,0.03,0.01,0.01,,,,0.01,0.02,,,0,,,,,,,,,,,,,,,,,
dry_cats_and_dogs,TOV_KORMOTECH,СТМ (TM Kika),cats,economy,sack,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.6,,,,15.2,,13.6,,,,18.4,,,17.6,18.4,,,,,,16,14.4,,,11.2,,,16,,,0.27,,,,0.24,,0.23,,,,0.32,,,0.35,0.39,,,,,,0.45,0.43,,,0.34,,,0.53,,
dry_cats_and_dogs,TOV_KORMOTECH,СТМ (TM Reks),dogs,economy,sack,1,,,,,,,,,,,,,,,,,,,,,,70,,,104,,,,,,0.8,,,,2.4,,3.2,,,,,,,1.6,1.6,,,,,,1.6,2.3,,,3.44,,,1.6,,,0.01,,,,0.04,,0.05,,,,,,,0.03,0.03,,,,,,0.05,0.07,,,0.1,,,0.05,,
dry_cats_and_dogs,TOV_KORMOTECH,СТМ (Bony CAT),cats,economy,sack,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2,9.6,8,,,11.2,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.26,0.22,,,0.32
dry_cats_and_dogs,TOV_KORMOTECH,СТМ (TIP TOP),cats,economy,sack,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,20,,,,,,15.2,8.8,20,,,,18.4,0.8,,,20,,20,,,,16.8,10.4,12,,,8.8,0.3,,0.29,,,,,,0.22,0.13,0.28,,,,0.34,0.01,,,0.33,,0.5,,,,0.46,0.28,0.33,,,0.25
dry_cats_and_dogs,TOV_KORMOTECH,СТМ (My Love),cats,economy,sack,1,,,,,,,,,,,,,,,,,,,,,,,,,,14 742.00,9 387.00,13 923.00,28 098.00,8 148.00,,,,,,,,,,,,,,,,,,,,,,,,,,4.42,2.82,4.18,8.43,2.44,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.1,0.15,0.36,0.11
dry_cats_and_dogs,TOV_KORMOTECH,СТМ (My Love),dogs,economy,sack,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316,224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.16,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06
dry_cats_and_dogs,TOV_KORMOTECH,СТМ (Truffy nutrition),dogs,economy,sack,1,,,,,,,,,,,,,,,,,,2 652.00,234,,,1 640.00,,,,360,680,1 960.00,,3 000.00,,,,,,,,,,,,,,,,,,39.78,3.51,,,24.6,,,,5.4,10.2,29.4,,45,,,,,,,,,,,,,,,,,,1.33,0.11,,,0.97,,,,0.26,0.49,1.43,,2.15
dry_cats_and_dogs,TOV_KORMOTECH,СТМ (Abaron),dogs,economy,sack,1,448,,,,448,,,448,,,,,,,832,,,,,,,1 716.00,,,,,,,,,5.38,,,,5.38,,,5.38,,,,,,,9.98,,,,,,,20.59,,,,,,,,,0.24,,,,0.24,,,0.22,,,,,,,0.45,,,,,,,0.96,,,,,,,,
dry_cats_and_dogs,TOV_KORMOTECH,СТМ (Dr. Trend),dogs,economy,sack,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1 440.00,265,,1 440.00,,,,,,,,,,,,,,,,,,,,,,,,,,,21.6,3.98,,21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,0.24,,1.19
dry_cats_and_dogs,TOV_KORMOTECH,"СТМ (ТМ ""Clever"")",cats,economy,sack,0,986,629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dry_cats_and_dogs,TOV_KORMOTECH,"СТМ (ТМ ""Clever"")",dogs,economy,sack,0,1 173.00,474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dry_cats_and_dogs,TOV_KORMOTECH,"СТМ (ТМ ""KandiKat"")",cats,economy,sack,1,,,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
